Gene_Hugo_Symbol,Entrez_Gene_Id,is_common
SSSCA1,10534,True
ATF3,467,True
CDH15,1013,True
NDUFA12,55967,True
MARK4,57787,True
KIAA1107,23285,True
TSFM,10102,True
TBC1D23,55773,True
DHFR,1719,True
MAPK10,5602,True
PTP4A3,11156,True
MBTPS2,51360,True
PUS1,80324,True
DDX27,55661,True
B3GNT1,11041,True
C4A,720,True
C17orf103,256302,True
PIK3R4,30849,True
NOMO3,408050,True
BMPR2,659,True
AC090186.1,0,True
SMIM13,221710,True
NIPAL4,348938,True
EPHX4,253152,True
LNX2,222484,True
CTD-2583A14.10,0,True
GADL1,339896,True
ACAT2,39,True
ULBP3,79465,True
AGPAT3,56894,True
ABCC1,4363,True
CHCHD2,51142,True
ANO5,203859,True
HERPUD2,64224,True
ZNF596,169270,True
MRPL54,116541,True
DMXL1,1657,True
ZBTB8A,653121,True
NFXL1,152518,True
CTU2,348180,True
NPDC1,56654,True
PPP3R1,5534,True
FAT2,2196,True
AMMECR1L,83607,True
ZFHX2,85446,True
RSRC1,51319,True
UBE2J1,51465,True
PSMA5,5686,True
CXorf56,63932,True
RRP15,51018,True
IL32,9235,True
RAD51D,5892,True
KLF17,128209,True
C18orf54,162681,True
RPUSD4,84881,True
MRPS7,51081,True
LGR4,55366,True
ANO7,50636,True
CCDC107,203260,True
C10orf112,0,True
MRPS31,10240,True
NLGN3,54413,True
TNFSF13,8741,True
RPS17,6218,True
HSDL2,84263,True
PSPN,5623,True
NKX6-1,4825,True
ST3GAL2,6483,True
TBC1D4,9882,True
RHBDD3,25807,True
MTR,4548,True
CHRM2,1129,True
RPS10-NUDT3,100529239,True
LSMEM1,286006,True
TULP4,56995,True
LENG8,114823,True
PFDN4,5203,True
LPAR2,9170,True
MRPS16,51021,True
CASP3,836,True
FAM102B,284611,True
ENPP2,5168,True
RHBDF2,79651,True
VTN,7448,True
KIF5B,3799,True
ST6GALNAC5,81849,True
PSMB7,5695,True
UBE2H,7328,True
ASB11,140456,True
PHF6,84295,True
NUDCD1,84955,True
CAPZA2,830,True
ARHGAP29,9411,True
AGTR1,185,True
FAM72C,0,True
WDR66,144406,True
RCAN2,10231,True
CLEC4E,26253,True
NTN3,4917,True
SEPN1,57190,True
ST14,6768,True
CIAPIN1,57019,True
RBMS3,27303,True
EIF3E,3646,True
SDAD1,55153,True
ACVRL1,94,True
MAP3K4,4216,True
HIST1H2BL,8340,True
TARS2,80222,True
PUS7,54517,True
ZNF132,7691,True
DPF1,8193,True
RMI2,116028,True
C6orf10,10665,True
ZNRD1,30834,True
IGSF10,285313,True
PCDHGA9,56107,True
ANKRD7,56311,True
MTCH2,23788,True
FOSB,2354,True
KCNJ14,3770,True
JPH2,57158,True
CRIP2,1397,True
PALMD,54873,True
GINM1,116254,True
APOBEC3C,27350,True
CYP24A1,1591,True
IGFALS,3483,True
ZNF705A,440077,True
CCT4,10575,True
BEND7,222389,True
CXorf36,79742,True
LRRC46,90506,True
RPL35A,6165,True
C5orf55,116349,True
FOXA2,3170,True
MSI2,124540,True
RPL21,6144,True
TRUB2,26995,True
EVC,2121,True
CEP57L1,285753,True
ENTPD1,953,True
EXOSC2,23404,True
UTP6,55813,True
SH3YL1,26751,True
SORBS1,10580,True
MTMR2,8898,True
NOC2L,26155,True
MT-ND1,4535,True
MAP3K7,6885,True
VWA3A,146177,True
STEAP1,26872,True
PIK3C2A,5286,True
DNM2,1785,True
CYTH1,9267,True
FAM195B,348262,True
RNF8,9025,True
ALMS1,7840,True
TRIQK,286144,True
P2RX4,5025,True
ACTN1,87,True
C15orf61,145853,True
CD80,941,True
OFCC1,266553,True
AL078585.1,0,True
ACTR1A,10121,True
TRNP1,388610,True
C9orf66,157983,True
VAV3,10451,True
PGLYRP1,8993,True
NEK7,140609,True
RNF4,6047,True
HTR2C,3358,True
ASB6,140459,True
CX3CR1,1524,True
AIMP2,7965,True
KCNQ1,3784,True
C19orf52,90580,True
CCSER2,54462,True
LITAF,9516,True
SLC43A3,29015,True
CNGA4,1262,True
OXGR1,27199,True
DDX39B,7919,True
ZNF436,80818,True
FH,2271,True
ICAM3,3385,True
MSANTD1,345222,True
DRD2,1813,True
DGKA,1606,True
PFDN5,5204,True
PLBD1,79887,True
TNFAIP1,7126,True
CCR4,1233,True
CHRAC1,54108,True
LRRN1,57633,True
ZNF695,57116,True
P2RY12,64805,True
KHDRBS1,10657,True
KRT6A,3853,True
CCDC91,55297,True
SMTNL2,342527,True
GINS4,84296,True
BMP7,655,True
CPQ,10404,True
MRPL30,51263,True
CXCL3,2921,True
TMEM66,51669,True
TACC2,10579,True
C2orf49,79074,True
RSU1,6251,True
CTD-2021H9.3,0,True
SCAND3,114821,True
EXOSC6,118460,True
UBE2F,140739,True
RASSF5,83593,True
PPP3CA,5530,True
APOL6,80830,True
KANSL3,55683,True
DAPK1,1612,True
LAMA5,3911,True
GJB6,10804,True
FAM155B,27112,True
PTPRF,5792,True
USP31,57478,True
RASEF,158158,True
PLA2G10,8399,True
FAM181B,220382,True
GPRC6A,222545,True
C3orf49,0,True
SPATS2L,26010,True
AHI1,54806,True
CXCL12,6387,True
LINC00908,0,True
EMG1,0,True
LPL,4023,True
IL12RB1,3594,True
EZR,7430,True
LSR,51599,True
TM7SF3,51768,True
PCDH17,27253,True
POLR3K,51728,True
CPVL,54504,True
WDR74,54663,True
ZP3,7784,True
KBTBD3,143879,True
SWI5,375757,True
GRWD1,83743,True
FAM81B,153643,True
EMP2,2013,True
HPDL,84842,True
FBXO8,26269,True
PARP16,54956,True
ST6GALNAC4,27090,True
CLEC3B,7123,True
LRRC29,26231,True
HMMR,3161,True
CYP2W1,54905,True
AC114494.1,0,True
FBXO43,286151,True
PLEKHH2,130271,True
FXYD3,5349,True
FCER1A,2205,True
NCK1,4690,True
DSN1,79980,True
CD247,919,True
RAB37,326624,True
THUMPD2,80745,True
HVCN1,84329,True
LMX1B,4010,True
SFTPA1,653509,True
CA8,767,True
RPL38,6169,True
RNF215,200312,True
STAR,6770,True
SLC16A11,162515,True
PLEKHN1,84069,True
KIF18A,81930,True
IL17RC,84818,True
RC3H1,149041,True
PTDSS1,9791,True
TMEM115,11070,True
QDPR,5860,True
FITM1,161247,True
FABP4,2167,True
ZNF514,84874,True
MMP17,4326,True
MLH1,4292,True
VRK1,7443,True
ZNF717,100131827,True
FAM13B,51306,True
FMNL1,752,True
MGST3,4259,True
DDX41,51428,True
ZXDB,158586,True
C3orf35,339883,True
SH3PXD2A,9644,True
MAGEF1,64110,True
NOB1,28987,True
TSC22D1,8848,True
CELF5,60680,True
NUTF2,10204,True
LRRC69,100130742,True
SMARCC1,6599,True
DCUN1D4,23142,True
C10orf118,55088,True
RGL4,266747,True
C9orf116,138162,True
CTNND2,1501,True
RBKS,64080,True
B4GALT2,8704,True
LRRC2,79442,True
LHX6,26468,True
DSC1,1823,True
MEA1,4201,True
SLC46A2,57864,True
C6orf201,404220,True
ZHX1-C8ORF76,100533106,True
ZNF33B,7582,True
HSD17B12,51144,True
CACNA2D3,55799,True
PDSS1,23590,True
MYCL,4610,True
ITIH5,80760,True
PLTP,5360,True
RAB41,347517,True
FBN2,2201,True
WSCD1,23302,True
MCF2L2,23101,True
MSANTD2,79684,True
RASA4B,100271927,True
TAF7L,54457,True
NPSR1,387129,True
YTHDC2,64848,True
SLC25A45,283130,True
TLE6,79816,True
GAL3ST4,79690,True
GNMT,27232,True
CLEC7A,64581,True
FAM177A1,283635,True
SND1,27044,True
KCNC1,3746,True
TNK1,8711,True
RP11-830F9.6,0,True
PDE1B,5153,True
BYSL,705,True
SPTBN5,51332,True
HOXC13,3229,True
SPATA19,219938,True
ZNF273,10793,True
MAP1LC3B2,643246,True
RAB11FIP3,9727,True
MAST4,375449,True
CYYR1,116159,True
PLEKHB2,55041,True
KIAA1462,57608,True
SGK3,23678,True
C11orf52,91894,True
EIF6,3692,True
EPC1,80314,True
NELFE,7936,True
TSKU,25987,True
AOC2,314,True
TTC39C,125488,True
MVB12B,89853,True
FUT11,170384,True
VPS51,738,True
PKP1,5317,True
PPP1R14A,94274,True
CDKN2A,1029,True
MCM8,84515,True
HSPA9,3313,True
DNAJB11,51726,True
PRKDC,5591,True
MLF1IP,0,True
UNC119,9094,True
FGF18,8817,True
NRBP1,29959,True
CRYL1,51084,True
KRT6B,3854,True
CST9,128822,True
METAP1,23173,True
TMEM80,283232,True
SAPCD2,89958,True
A2ML1,144568,True
LEPR,3953,True
PDGFRB,5159,True
HIST1H4J,8294,True
EXOC8,149371,True
CTB-133G6.1,0,True
SYNPO2L,79933,True
RALGPS1,9649,True
C12orf54,121273,True
ACSL3,2181,True
ZNF215,7762,True
MSRB3,253827,True
QSOX2,169714,True
PCCA,5095,True
GABARAPL3,0,True
FOXRED1,55572,True
ITPR1,3708,True
ZHX3,23051,True
DUT,1854,True
SSTR1,6751,True
RDH16,8608,True
PPP1R9A,55607,True
MORC4,79710,True
PI4K2A,55361,True
RMI1,80010,True
SLC27A3,11000,True
PGGT1B,5229,True
TSC22D3,1831,True
PHF11,51131,True
MPLKIP,136647,True
HN1,51155,True
OMD,4958,True
ATAD3C,219293,True
PDE4DIP,9659,True
SIGIRR,59307,True
ZNF594,84622,True
C1orf173,127254,True
MBNL1,4154,True
STX2,2054,True
MRPS30,10884,True
LIMS3L,96626,True
GYPC,2995,True
PROS1,5627,True
PSKH1,5681,True
TSPYL1,7259,True
ERGIC1,57222,True
TSPAN13,27075,True
IL4,3565,True
GPR146,115330,True
ATE1,11101,True
GPC2,221914,True
H2AFY2,55506,True
GLCCI1,113263,True
NARF,26502,True
SPATA5L1,79029,True
MPHOSPH8,54737,True
PPP1R2,5504,True
RAD1,5810,True
PDSS2,57107,True
MAP4,4134,True
LDHD,197257,True
RASAL1,8437,True
C5orf56,0,True
