Gene_Hugo_Symbol,Entrez_Gene_Id,r_value_spearman
DCUN1D5,84259,-0.26860150374597097
PDZK1IP1,10158,-0.26815737495718245
SLC9A1,6548,-0.2678738701797727
LYPD5,284348,-0.2676015755655525
EMC7,56851,-0.26752240586027254
AC129492.6,0,-0.26705091381620105
SIT1,27240,-0.2666346500948801
SLCO5A1,81796,-0.2662696343858753
GMEB1,10691,-0.2656257534194426
ZNF445,353274,-0.26485707911576745
RNF138,51444,-0.26383050650442497
ANXA2,302,-0.26376846471739307
CTDSPL,10217,-0.2635826487966566
FOXD4L2,349334,-0.2632309855732822
SSH3,54961,-0.26199227150139714
BTBD16,118663,-0.26149301172709927
KRT40,125115,-0.26087576406205254
PIK3C3,5289,-0.26080691500678643
CLP1,10978,-0.26065861584299016
GPR179,440435,-0.26022624685957196
TMED3,23423,-0.2598270254465071
CCDC178,374864,-0.2597354267184949
ACRV1,56,-0.2595781652614124
BDKRB1,623,-0.25914897704351164
GRPR,2925,-0.25802267516322547
SCIN,85477,-0.25793593652180447
ATP11A,23250,-0.2578956235421335
PPY,5539,-0.25786706458450825
STAR,6770,-0.25784683729274976
FOXD3,27022,-0.2577846015191163
AC069547.2,0,-0.2570426668763318
XPO7,23039,-0.25688340863878883
C4orf50,389197,-0.25679499095714076
WDR61,80349,-0.25654151019031474
SIX1,6495,-0.2564829043411448
PTCD1,26024,-0.2563228054059857
RP11-468E2.6,0,-0.2561989205474848
GADL1,339896,-0.2554556000111061
CIRH1A,84916,-0.2554279961830699
QRICH1,54870,-0.25515502967805215
MMP20,9313,-0.2549686863057869
RTBDN,83546,-0.2548222832153114
L34079.2,0,-0.2546868478985576
LDHAL6A,160287,-0.2535394970681515
SNTG2,54221,-0.25330028517266096
AP000769.1,0,-0.253079751121847
COBL,23242,-0.2525335024532706
APBB2,323,-0.2522937986289956
NBR1,4077,-0.25223429053134994
KIF5C,3800,-0.2521734965284271
APLP2,334,-0.2521317230863076
TP53I11,9537,-0.2517356559002959
QPCT,25797,-0.25151311626317835
PYDC1,260434,-0.25108400560153404
C18orf25,147339,-0.2500540549924783
NPY,4852,-0.24991471131965445
DGKB,1607,-0.2496508583971726
WHSC1,7468,-0.2493395502095349
MLLT1,4298,-0.24857685188752576
NR2F6,2063,-0.24833069240805358
SEMA4F,10505,-0.2482878153983769
SYNPO2L,79933,-0.24765839354273975
HSD17B2,3294,-0.24708820811633134
CEP70,80321,-0.24705798044745578
SSX5,6758,-0.2467437970248749
TREH,11181,-0.24673830625648815
GSE1,23199,-0.24623441523428616
YTHDF1,54915,-0.24580629684726676
MMP27,64066,-0.24564700017929078
NR5A1,2516,-0.24562251670018406
CRYBA4,1413,-0.24527627658415832
EGF,1950,-0.24508909274290377
C20orf112,140688,-0.24505283833624175
HTATIP2,10553,-0.2449372006210317
MARS2,92935,-0.24491413481304683
UBE2O,63893,-0.2447866686057349
AGPAT6,137964,-0.24467830530147164
TLE2,7089,-0.24466271568767206
DPF1,8193,-0.24454316251497288
PDZD11,51248,-0.24438519436036157
PCGF2,7703,-0.24344254419677172
MPP4,58538,-0.2433199698251165
MRPL36,64979,-0.24270818765556496
PTGES,9536,-0.2425079245904984
IFNL1,282618,-0.24250232080629558
MED1,5469,-0.24248175180679288
ZNF831,128611,-0.24244170695941583
ZSWIM6,57688,-0.24222916194180258
OSR1,130497,-0.2421287735754335
WDR87,83889,-0.24208817004462518
RANBP10,57610,-0.24203118434473983
STX8,9482,-0.24164445302905466
CLN3,1201,-0.2402806613917292
AVPI1,60370,-0.240141217434428
BID,637,-0.24012296762215166
ERH,2079,-0.23991543698057455
IL17RD,54756,-0.23991161088599022
GABARAPL3,0,-0.2397001618657237
RAPGEF2,9693,-0.23967240137416512
BDH1,622,-0.23963886087499403
TBC1D5,9779,-0.23962712985385198
RRP1,8568,-0.23957532777759333
EXOC2,55770,-0.23915028844724556
GLUL,2752,-0.2390662152141326
FBXW12,285231,-0.2389022016505454
LMTK2,22853,-0.23862380912641765
ZBTB10,65986,-0.23846689622656275
HNRNPC,3183,-0.238455628834041
MRPL52,122704,-0.23838467691415308
MAPT,4137,-0.23828847222755092
PKD2L2,27039,-0.23796156814177477
CDH2,1000,-0.23783225689378193
DLGAP4,22839,-0.23763660717753338
CXorf40B,541578,-0.2375757168795402
PRSS1,5644,-0.23756987281988756
PPIC,5480,-0.23755884577531486
BIRC5,332,-0.2374102480652067
IL17RE,132014,-0.23739971197394616
HSPA9,3313,-0.23707923019167568
PRR9,574414,-0.23703408994957922
ZFYVE21,79038,-0.23684147479088452
ZNF212,7988,-0.2367719467477705
GALNT9,50614,-0.23672953946563757
S100A10,6281,-0.23589595853435447
VASH2,79805,-0.23588031916550806
HHLA1,10086,-0.23569976991011188
NF1,4763,-0.23526445709890875
RAN,5901,-0.23520085245364064
CATSPERB,79820,-0.23513591420835334
SOX4,6659,-0.2349988032822014
OPRM1,4988,-0.23493644479232217
RPL22L1,200916,-0.23472892965528114
KLF14,136259,-0.23423796486430715
TREM1,54210,-0.23407218853559225
KLK15,55554,-0.23381772022716868
TMEM39B,55116,-0.2336296007831481
LMO7,4008,-0.23354228378876013
COMMD1,150684,-0.233524749085321
MATN1,4146,-0.23344167107128472
RANGRF,29098,-0.23325646441963085
GIGYF2,26058,-0.23314196250660527
UBA2,10054,-0.23261346310459197
ZNF671,79891,-0.2325637563851388
CCKAR,886,-0.23236093967134985
TLK2,11011,-0.23206520240091763
RANBP3,8498,-0.23180049975928893
GRB2,2885,-0.23171552245409094
RAB11B,9230,-0.23129613793562878
TBC1D22B,55633,-0.23123889236579798
TAS2R46,259292,-0.23110681201249075
AUTS2,26053,-0.2304995199584789
TNNT3,7140,-0.23026315816023785
DNAJC6,9829,-0.2302058073744039
PSIP1,11168,-0.2299082504539149
EPB41L1,2036,-0.22964404198794858
HOXB2,3212,-0.22952591409349224
WDR48,57599,-0.22947749661560637
MEPCE,56257,-0.22869018534281976
IKZF4,64375,-0.22827079255676028
C12orf5,57103,-0.2282475569698387
IL22RA2,116379,-0.22785431667698208
CHERP,10523,-0.227740146892444
GYS1,2997,-0.22763001404002248
MAD2L2,10459,-0.22749544084074325
AGPAT3,56894,-0.2273065855101415
NEU1,4758,-0.22692428010874197
ZFP37,7539,-0.22668107615003988
TMEM256,254863,-0.2266282586136086
SLC35B1,10237,-0.22661187773222882
GFOD2,81577,-0.22655875377247464
PODXL,5420,-0.22622478490545087
PPIAL4C,164022,-0.22612995757117343
KCTD2,23510,-0.22610952261615572
MKRN2,23609,-0.22610181877883245
CYCS,54205,-0.2256677597390747
MEI4,101928601,-0.22494838243787255
VRTN,55237,-0.2248004866360988
TAF5L,27097,-0.22479633886464798
PDX1,3651,-0.224604756306998
GGNBP1,0,-0.2245995370816194
ANK3,288,-0.2243594362244277
CDK5R2,8941,-0.2242928252774052
SETD2,29072,-0.22423284041454908
TIMM8B,26521,-0.22406629199642164
TBC1D1,23216,-0.2240107664477937
DSG4,147409,-0.22395985595592124
ACMSD,130013,-0.22393887500701742
GHRHR,2692,-0.22391365650187328
ARAF,369,-0.22390465477794558
FAM115A,9747,-0.22379671463997874
ELMO3,79767,-0.22367158373588378
RNF17,56163,-0.22332929519869965
PPP1R13L,10848,-0.2233086807072941
OPRD1,4985,-0.22318052391207854
SPTBN1,6711,-0.2227639565833632
ZNF629,23361,-0.22262791281997482
TGM1,7051,-0.22259040509747974
ZBTB20,26137,-0.22253447113033992
C7orf61,402573,-0.2224730439720924
BOK,666,-0.22245977717238177
VWA2,340706,-0.22226225014598422
ANKRD35,148741,-0.22225423912726286
PMAIP1,5366,-0.22215284525507592
ATP4A,495,-0.22213331066206424
SPRY1,10252,-0.22205412680801487
C19orf45,374877,-0.22195807276097057
IGSF1,3547,-0.221952687176833
SLC32A1,140679,-0.2219512509159563
AC019171.1,0,-0.22193675459602796
ATP5L2,267020,-0.22181552778639113
RFX3,5991,-0.221797923253599
MNAT1,4331,-0.2217604507300763
MYOT,9499,-0.22093934675882987
NR6A1,2649,-0.22033532127363853
RFPL2,10739,-0.22020891149623506
KIAA1161,57462,-0.2198443704059105
PDIA2,64714,-0.2197535751402607
GOLT1B,51026,-0.21961236457321695
LIX1,167410,-0.21958749999522836
TESC,54997,-0.21958599516224894
HIST2H2BF,440689,-0.2195274229180674
ATP5G3,518,-0.21929888557597924
ITSN1,6453,-0.21929130198601657
